Block,Isolate,Cultivar_number,Cultivar_name,24,30,36,42,48,54,60,66,AUMPC (48),AUMPC (66 h),X__1,X__2,X__3,X__4
67,2D,14,IPR Quero-quero,0.075,0.568,1.262,1.65,2.349,2.904,4.526,6.096,29.051999999999996,98.967,NA,NA,NA,NA
4,2B,15,IAPAR 81,1.715,4.216,7.613,9.716,16.412,NA,NA,NA,204.23100000000002,NA,NA,NA,NA,NA
8,2B,15,IAPAR 81,0.891,4.507,4.686,7.782,11.645,NA,NA,NA,150.15,NA,NA,NA,NA,NA
12,2B,15,IAPAR 81,1.813,3.238,7.038,9.877,17.658,NA,NA,NA,201.08700000000002,NA,NA,NA,NA,NA
21,2B,15,IAPAR 81,1.466,3.366,6.361,10.527,18.268,NA,NA,NA,198.31800000000004,NA,NA,NA,NA,NA
25,2B,15,IAPAR 81,1.06,2.44,5.427,9.931,13.654,NA,NA,NA,163.65,NA,NA,NA,NA,NA
29,2B,15,IAPAR 81,1.264,3.2,5.254,7.188,12.407,NA,NA,NA,150.033,NA,NA,NA,NA,NA
39,2D,15,IAPAR 81,0.053,0.302,0.746,1.415,2.203,3.02,5.651,8.399,22.182000000000002,106.014,NA,NA,NA,NA
42,2D,15,IAPAR 81,0.448,1.227,1.402,2.568,3.983,6.112,6.372,10.352,49.851,167.76,NA,NA,NA,NA
49,2D,15,IAPAR 81,0.347,0.872,1.093,1.524,2.262,2.9,3.732,3.803,32.925,90.912,NA,NA,NA,NA
54,2D,15,IAPAR 81,0.383,0.955,1.643,2.409,3.199,4.536,5.794,8.259,45.384,141.73800000000003,NA,NA,NA,NA
63,2D,15,IAPAR 81,0.716,1.162,1.778,3.181,3.745,6.705,7.3,9.361,58.701,182.04899999999998,NA,NA,NA,NA
67,2D,15,IAPAR 81,0.534,1.304,1.958,2.637,3.483,4.904,8.097,9.103,53.853,169.617,NA,NA,NA,NA
4,2B,16,IPR Juriti,2.168,5.195,8.955,13.629,18.399,NA,NA,NA,254.391,NA,NA,NA,NA,NA
11,2B,16,IPR Juriti,2.117,5.208,8.537,14.954,18.979,NA,NA,NA,260.886,NA,NA,NA,NA,NA
16,2B,16,IPR Juriti,1.155,2.792,4.523,8.441,11.566,NA,NA,NA,146.55900000000003,NA,NA,NA,NA,NA
18,2B,16,IPR Juriti,1.099,2.64,5.556,8.754,13.472,NA,NA,NA,158.601,NA,NA,NA,NA,NA
24,2B,16,IPR Juriti,0.157,0.888,2.409,5.504,8.276,NA,NA,NA,79.989,NA,NA,NA,NA,NA
32,2B,16,IPR Juriti,1.531,3.23,4.756,10.603,15.27,NA,NA,NA,180.30900000000003,NA,NA,NA,NA,NA
35,2D,16,IPR Juriti,0.063,0.551,0.801,1.134,1.193,1.775,2.054,2.464,19.439999999999998,53.38499999999999,NA,NA,NA,NA
