Section,Block,Isolate_number,Isolate,Collection,24 horas,30 horas,36 horas,42 horas,48 horas,AUMPD
2,14,15,975D,first,1.426,3.041,3.581,7.296,9.759,134.175
2,16,15,975D,first,2.89,5.046,8.952,12.989,21.431,269.565
2,20,15,975D,first,3.682,6.672,11.412,15.373,21.966,321.87
2,21,15,975D,first,1.198,2.602,4.945,7.79,13.484,150.444
2,24,15,975D,first,1.956,3.893,7.101,9.392,13.082,190.902
2,2,16,976B,first,2.237,4.57,6.736,10.225,14.476,206.169
2,4,16,976B,first,1.12,1.818,3.106,5.522,9.752,108.732
2,7,16,976B,first,1.6,3.11,6.385,10.054,14.321,184.257
2,10,16,976B,first,2.957,5.29,8.785,13.539,20.966,272.937
2,12,16,976B,first,2.417,3.746,6.341,8.634,12.218,185.235
2,15,16,976B,first,1.554,3.081,5.712,8.665,10.285,158.913
2,17,16,976B,first,2.076,4.335,6.959,11.111,16.79,215.94
2,20,16,976B,first,2.17,3.756,5.503,9.807,13.014,185.988
2,22,16,976B,first,1.089,2.058,3.349,5.923,8.124,108.687
2,24,16,976B,first,2.009,4.11,7.563,9.634,14.576,201.705
2,2,17,976D,first,2.574,5.414,8.055,11.708,17.607,242.493
2,3,17,976D,first,0.793,1.452,2.635,5.643,13.483,110.724
2,7,17,976D,first,2.803,4.687,7.803,12.442,15.139,237.054
2,10,17,976D,first,2.66,5.048,8.001,14.05,22.675,270.519
2,12,17,976D,first,1.717,3.448,7.297,11.658,15.493,206.652
2,13,17,976D,first,2.269,5.342,8.525,13.168,19.545,254.88
2,17,17,976D,first,1.316,2.948,5.815,8.116,12.184,157.566
2,19,17,976D,first,2.074,3.669,6.622,10.024,14.838,197.514
2,23,17,976D,first,2.204,3.675,6.329,8.498,14.729,188.259
2,24,17,976D,first,2.16,4.061,7.89,11.317,13.522,212.574
2,2,18,977B,first,2.056,3.913,5.737,7.826,14.04,177.816
2,4,18,977B,first,1.574,2.656,4.349,6.457,9.082,131.628
2,8,18,977B,first,1.984,3.619,4.825,9.278,12.474,173.514
2,10,18,977B,first,3.341,6.754,10.08,15.837,22.6,313.941
2,13,18,977B,first,3.407,5.402,8.61,11.795,15.251,251.7
2,15,18,977B,first,2.002,3.673,5.575,10.841,10.283,181.413
2,18,18,977B,first,2.407,3.656,6.583,8.461,12.577,186.036
2,20,18,977B,first,2.18,3.61,5.236,7.129,9.688,157.614
2,23,18,977B,first,2.12,4.481,6.718,9.32,11.289,188.781
2,24,18,977B,first,2.153,3.914,6.809,10.077,14.759,201.372
2,3,19,977C,first,3.063,5.039,8.156,9.594,13.146,222.117
2,5,19,977C,first,3.864,7.08,12.506,16.229,22.406,340.068
2,7,19,977C,first,2.69,4.669,8.029,10.333,15.68,225.576
