Number,Section,Isolate number,Isolate,Collection,Area
820,2,22,7,third,2.295
821,2,23,17,third,0.758
822,2,23,17,third,3.505
823,2,23,17,third,1.244
824,2,23,17,third,10.523
825,2,23,17,third,3.72
826,2,23,17,third,2.328
827,2,23,17,third,0.337
828,2,23,17,third,5.606
829,2,23,17,third,7.528
830,2,23,17,third,6.492
831,2,24,9,third,0.742
832,2,24,9,third,10.714
833,2,24,9,third,1.903
834,2,24,9,third,0.366
835,2,24,9,third,4.868
836,2,24,9,third,3.913
837,2,24,9,third,1.917
838,2,24,9,third,0.144
839,2,24,9,third,10.566
840,2,24,9,third,3.555
841,2,25,22,third,6.151
842,2,25,22,third,5.741
843,2,25,22,third,5.325
844,2,25,22,third,2.62
845,2,25,22,third,8.077
846,2,25,22,third,2.769
847,2,25,22,third,0.521
848,2,25,22,third,4.222
849,2,25,22,third,1.359
850,2,25,22,third,4.546
851,2,26,32,third,7.306
852,2,26,32,third,0.587
853,2,26,32,third,1.758
854,2,26,32,third,5.775
855,2,26,32,third,12.522
856,2,26,32,third,0.614
857,2,26,32,third,5.413
858,2,26,32,third,17.541
859,2,26,32,third,8.247
860,2,26,32,third,0.649
861,2,27,12,third,4.94
862,2,27,12,third,9.473
863,2,27,12,third,2.507
864,2,27,12,third,10.664
865,2,27,12,third,0.134
866,2,27,12,third,2.06
867,2,27,12,third,1.676
868,2,27,12,third,1.148
869,2,27,12,third,2.391
870,2,27,12,third,9.091
871,2,28,139,third,2.539
872,2,28,139,third,10.196
873,2,28,139,third,4.565
874,2,28,139,third,9.644
875,2,28,139,third,0.23
876,2,28,139,third,3.347
877,2,28,139,third,0.139
878,2,28,139,third,3.975
879,2,28,139,third,9.169
880,2,28,139,third,6.439
881,2,29,14,third,6.511
882,2,29,14,third,5.145
883,2,29,14,third,9.911
884,2,29,14,third,4.518
885,2,29,14,third,2.352
886,2,29,14,third,2.759
887,2,29,14,third,1.069
888,2,29,14,third,7.243
889,2,29,14,third,10.822
890,2,29,14,third,1.805
891,2,30,25,third,2.589
892,2,30,25,third,0.917
893,2,30,25,third,2.037
894,2,30,25,third,0.374
895,2,30,25,third,1.176
896,2,30,25,third,0.848
897,2,30,25,third,1.132
898,2,30,25,third,2.009
899,2,30,25,third,2.845
900,2,30,25,third,2.849
901,3,31,1019,first,15.636
902,3,31,1019,first,16.195
903,3,31,1019,first,15.236
904,3,31,1019,first,30.476
905,3,31,1019,first,10.531
906,3,31,1019,first,6.721
907,3,31,1019,first,13.492
908,3,31,1019,first,17.925
909,3,31,1019,first,14.237
910,3,31,1019,first,17.646
911,3,32,1018,first,12.813
912,3,32,1018,first,17.23
913,3,32,1018,first,14.659
914,3,32,1018,first,13.734
915,3,32,1018,first,15.411
916,3,32,1018,first,14.659
917,3,32,1018,first,15.235
918,3,32,1018,first,13.118
919,3,32,1018,first,11.643
920,3,32,1018,first,17.247
921,3,33,1022,first,15.16
922,3,33,1022,first,16.991
923,3,33,1022,first,16.35
924,3,33,1022,first,15.693
925,3,33,1022,first,18.67
926,3,33,1022,first,9.353
927,3,33,1022,first,15.573
928,3,33,1022,first,20.115
929,3,33,1022,first,5.74
930,3,33,1022,first,13.571
931,3,34,1013,first,12.983
932,3,34,1013,first,17.575
933,3,34,1013,first,13.933
934,3,34,1013,first,13.697
935,3,34,1013,first,12.233
936,3,34,1013,first,18.396
937,3,34,1013,first,12.742
938,3,34,1013,first,13.096
939,3,34,1013,first,15.509
940,3,34,1013,first,16.528
941,3,35,1017,first,13.441
942,3,35,1017,first,14
943,3,35,1017,first,14.631
944,3,35,1017,first,11.725
945,3,35,1017,first,15.372
946,3,35,1017,first,11.197
947,3,35,1017,first,16.363
948,3,35,1017,first,10.46
949,3,35,1017,first,18.788
950,3,35,1017,first,15.597
951,3,36,6,first,20.54
952,3,36,6,first,9.516
953,3,36,6,first,10.134
